Serial,Voc,Isc,Pmax,Vmax,Imax,FF,Efficiency,TestDate,Grade
PV2025-001,88.5,8.95,422.3,57.4,7.36,0.753,19.2,2025-01-15T10:00:00,A
PV2025-002,88.7,8.98,425.1,57.6,7.38,0.755,19.3,2025-01-15T10:15:00,A
PV2025-003,88.3,8.92,418.5,57.2,7.32,0.751,19.0,2025-01-15T10:30:00,A
PV2025-004,87.9,8.88,410.2,56.8,7.22,0.746,18.6,2025-01-15T10:45:00,B
PV2025-005,88.6,8.96,421.8,57.5,7.34,0.752,19.2,2025-01-15T11:00:00,A
PV2025-006,88.4,8.93,415.6,57.3,7.26,0.748,18.9,2025-01-15T11:15:00,A
PV2025-007,87.5,8.82,405.8,56.5,7.18,0.742,18.4,2025-01-15T11:30:00,B
PV2025-008,88.8,8.99,426.5,57.7,7.39,0.756,19.4,2025-01-15T11:45:00,A
PV2025-009,88.2,8.91,416.2,57.1,7.29,0.749,18.9,2025-01-15T12:00:00,A
PV2025-010,88.0,8.87,411.4,56.9,7.23,0.747,18.7,2025-01-15T12:15:00,B
