Time,GHI,DHI,DNI,ModuleTemp,AmbientTemp
2025-01-15T06:00:00,0,0,0,15.2,14.8
2025-01-15T07:00:00,125,85,420,18.5,16.2
2025-01-15T08:00:00,385,145,780,22.4,19.1
2025-01-15T09:00:00,620,185,950,28.6,22.5
2025-01-15T10:00:00,795,210,1020,35.2,26.3
2025-01-15T11:00:00,890,225,1050,41.8,29.8
2025-01-15T12:00:00,920,230,1065,45.6,31.5
2025-01-15T13:00:00,895,228,1055,46.2,32.1
2025-01-15T14:00:00,810,215,1025,44.5,31.8
2025-01-15T15:00:00,650,195,965,40.1,30.2
2025-01-15T16:00:00,425,165,810,34.5,27.5
2025-01-15T17:00:00,185,110,520,27.8,23.8
2025-01-15T18:00:00,35,45,185,21.2,19.5
