Time,Voltage,Current,Power,Temperature
2025-01-15T10:00:00.000,0.00,8.95,0.00,25.1
2025-01-15T10:00:00.100,5.23,8.94,46.74,25.1
2025-01-15T10:00:00.200,10.45,8.93,93.32,25.2
2025-01-15T10:00:00.300,15.67,8.91,139.64,25.2
2025-01-15T10:00:00.400,20.89,8.88,185.50,25.3
2025-01-15T10:00:00.500,26.11,8.83,230.55,25.3
2025-01-15T10:00:00.600,31.34,8.76,274.54,25.4
2025-01-15T10:00:00.700,36.56,8.65,316.24,25.4
2025-01-15T10:00:00.800,41.78,8.49,354.71,25.5
2025-01-15T10:00:00.900,47.01,8.25,387.83,25.5
2025-01-15T10:00:01.000,52.23,7.89,412.10,25.6
2025-01-15T10:00:01.100,57.45,7.35,422.26,25.6
2025-01-15T10:00:01.200,62.67,6.58,412.37,25.7
2025-01-15T10:00:01.300,67.90,5.54,376.17,25.7
2025-01-15T10:00:01.400,73.12,4.21,307.84,25.8
2025-01-15T10:00:01.500,78.34,2.58,202.12,25.8
2025-01-15T10:00:01.600,83.56,0.65,54.31,25.9
2025-01-15T10:00:01.700,88.79,0.00,0.00,25.9
